kind,source_linear,source_file_offset,target_segment,target_offset,target_linear,relocation_index
call,39145,39145,5915,6772,101412,406
call,39102,39102,5915,6772,101412,407
call,39051,39051,5915,6772,101412,408
call,39028,39028,5915,6772,101412,409
call,38986,38986,5915,6772,101412,410
call,38961,38961,5915,7026,101666,411
call,38943,38943,5915,6772,101412,412
call,38899,38899,5915,7026,101666,413
call,38868,38868,5915,6494,101134,414
call,38854,38854,5915,6494,101134,415
call,40516,40516,3106,3125,52821,416
call,40401,40401,5915,6534,101174,417
call,40378,40378,5915,6534,101174,418
call,40245,40245,3106,3125,52821,419
call,40173,40173,3106,3125,52821,420
call,41382,41382,3106,3125,52821,421
call,40758,40758,5915,6534,101174,422
call,40619,40619,3106,3125,52821,423
call,42075,42075,3106,3125,52821,424
call,41709,41709,3106,3125,52821,425
call,42964,42964,3106,22678,72374,426
call,42880,42880,3106,22406,72102,427
call,42841,42841,3106,40900,90596,428
call,42792,42792,5915,706,95346,429
call,44185,44185,5915,6618,101258,430
call,44173,44173,5915,6480,101120,431
call,44137,44137,5915,6618,101258,432
call,44125,44125,5915,6480,101120,433
call,44089,44089,5915,6618,101258,434
call,44074,44074,5915,6480,101120,435
call,44038,44038,5915,6618,101258,436
call,44023,44023,5915,6480,101120,437
call,43806,43806,3106,22678,72374,438
call,43722,43722,3106,22406,72102,439
call,43683,43683,3106,40900,90596,440
call,43627,43627,5915,6618,101258,441
call,43526,43526,5915,706,95346,442
call,45330,45330,5915,6772,101412,443
call,45296,45296,5915,6772,101412,444
call,45265,45265,5915,6494,101134,445
call,45248,45248,5915,6772,101412,446
call,45220,45220,5915,6494,101134,447
call,45194,45194,5915,6772,101412,448
call,45163,45163,5915,6494,101134,449
call,44960,44960,3106,22678,72374,450
call,44876,44876,3106,22406,72102,451
call,44837,44837,3106,40900,90596,452
call,44790,44790,5915,706,95346,453
call,46272,46272,5915,6772,101412,454
call,46200,46200,5915,6772,101412,455
call,46172,46172,5915,6494,101134,456
call,46148,46148,5915,6772,101412,457
call,46114,46114,5915,6772,101412,458
call,46083,46083,5915,6494,101134,459
call,46066,46066,5915,6772,101412,460
call,46038,46038,5915,6494,101134,461
call,46011,46011,5915,6772,101412,462
call,45980,45980,5915,6494,101134,463
call,45822,45822,3106,3125,52821,464
call,45789,45789,3106,3125,52821,465
call,45566,45566,3106,3125,52821,466
call,45533,45533,3106,3125,52821,467
call,45454,45454,5915,6772,101412,468
call,45382,45382,5915,6772,101412,469
call,45354,45354,5915,6494,101134,470
call,47093,47093,5915,6772,101412,471
call,47041,47041,5915,6618,101258,472
call,46977,46977,5915,6494,101134,473
call,46938,46938,5915,6618,101258,474
call,46827,46827,5915,6480,101120,475
call,46634,46634,3106,3125,52821,476
call,46601,46601,3106,3125,52821,477
call,46384,46384,3106,3125,52821,478
call,46351,46351,3106,3125,52821,479
call,48048,48048,5915,706,95346,480
call,47866,47866,3106,22678,72374,481
call,47781,47781,3106,22406,72102,482
call,47742,47742,3106,40900,90596,483
call,47678,47678,5915,706,95346,484
call,50283,50283,5915,3520,98160,486
call,49983,49983,5915,4118,98758,489
call,49965,49965,5915,4118,98758,490
call,49871,49871,5915,3552,98192,491
